sex,group,parent_edu,lunch,prep,math,reading,writing,avg_score,pass
M,C,associate,standard,no,58,54,52,54.7,no
F,C,some_hs,standard,no,69,73,73,71.7,yes
M,A,master,free,no,73,74,72,73.0,yes
F,D,some_college,standard,no,69,74,74,72.3,yes
M,B,associate,free,no,57,56,57,56.7,no
F,E,associate,free,no,50,56,54,53.3,no
F,C,some_hs,free,yes,71,84,87,80.7,yes
F,C,hs,free,no,33,41,43,39.0,no
F,C,some_hs,free,no,0,17,10,9.0,no
M,E,bachelor,free,yes,79,74,72,75.0,yes
F,C,associate,standard,no,69,80,71,73.3,yes
M,D,some_hs,free,no,45,37,37,39.7,no
F,C,some_college,standard,no,60,72,74,68.7,yes
F,D,some_college,free,yes,58,63,73,64.7,yes
F,A,associate,free,no,41,51,48,46.7,no
M,E,some_hs,standard,no,30,26,22,26.0,no
F,D,some_hs,standard,yes,61,74,72,69.0,yes
F,C,some_college,free,no,76,83,88,82.3,yes
F,A,some_college,standard,no,58,70,67,65.0,yes
M,B,some_hs,standard,yes,65,66,62,64.3,yes
M,D,bachelor,standard,yes,68,74,74,72.0,yes
M,E,associate,standard,yes,66,63,64,64.3,yes
F,D,associate,free,yes,77,89,98,88.0,yes
F,C,bachelor,standard,yes,79,92,89,86.7,yes
M,B,some_hs,standard,yes,51,54,41,48.7,no
M,E,hs,standard,no,70,55,56,60.3,yes
M,D,some_college,standard,yes,71,61,69,67.0,yes
F,B,associate,standard,yes,61,86,87,78.0,yes
F,B,hs,standard,yes,68,83,78,76.3,yes
F,C,bachelor,free,yes,43,51,54,49.3,no
M,C,some_hs,free,yes,45,52,49,48.7,no
F,B,some_college,free,no,45,53,55,51.0,no
F,B,bachelor,free,no,78,79,76,77.7,yes
F,B,some_college,free,no,74,81,76,77.0,yes
F,B,some_college,free,no,58,61,66,61.7,yes
M,D,some_hs,free,yes,80,79,79,79.3,yes
M,C,associate,free,yes,60,51,56,55.7,no
M,B,some_hs,standard,yes,84,83,75,80.7,yes
M,B,hs,free,no,66,77,70,71.0,yes
M,B,associate,standard,no,87,85,73,81.7,yes
M,D,associate,standard,no,80,75,77,77.3,yes
F,D,some_hs,standard,yes,64,60,74,66.0,yes
M,D,some_hs,standard,no,75,74,69,72.7,yes
F,B,hs,standard,yes,58,70,68,65.3,yes
M,D,hs,standard,no,54,52,52,52.7,no
F,C,associate,free,no,64,73,68,68.3,yes
F,C,master,free,yes,65,81,81,75.7,yes
F,C,some_hs,free,yes,64,79,77,73.3,yes
M,C,some_college,standard,yes,79,79,78,78.7,yes
M,D,some_hs,free,no,59,42,41,47.3,no
